date,open,high,low,close,volume,base_asset_volume,no_trades,taker_buy_vol,taker_buy_base_asset_vol
17/07/2024,3444.14,3540.27,3367.2,3503.53,839274.5041,2893786020.723102,3713302,455642.9074,1571814958.090809
20/07/2024,3503.53,3562.82,3411.4,3439.6,574261.2864,2004981638.5354953,2698192,269712.852,942042168.785339
23/07/2024,3439.61,3541.0,3087.53,3175.48,1270330.4715,4248678777.7044234,4609431,644846.4996,2160824033.867639
26/07/2024,3175.47,3327.59,3171.0,3270.16,595759.2007,1938418979.993016,2928483,299296.4682,974022575.568409
29/07/2024,3270.16,3396.77,3213.75,3232.74,749460.0048,2483066682.820593,4006129,363603.5798,1205218687.257238
01/08/2024,3232.74,3242.57,2859.0,2903.64,1053584.9657,3219537339.7194047,5738197,480899.9069,1471629657.656014
04/08/2024,2903.65,2935.46,2111.0,2461.33,3824952.1653,9272353376.404484,12119069,1840829.827,4459137927.104309
07/08/2024,2461.33,2724.1,2309.04,2598.78,1623358.2593,4081001865.063488,6192871,802458.3109,2018192079.6735911
10/08/2024,2598.79,2750.0,2510.05,2722.3,951525.527,2503166271.107772,3892134,482245.9694,1268733406.164399
13/08/2024,2722.3,2780.0,2515.71,2569.89,1021024.2164,2715183656.94816,4812793,505334.4566,1344975828.432411
16/08/2024,2569.9,2689.16,2550.04,2612.15,534106.8718,1395394298.215178,2981973,267236.5898,698504775.338212
19/08/2024,2612.15,2695.0,2536.22,2630.71,751469.6305,1962277499.90776,3879803,374176.4245,977707742.847859
22/08/2024,2630.71,2820.0,2584.2,2768.0,864392.5084,2334644871.248092,3945753,439027.7624,1186075230.741382
25/08/2024,2768.01,2792.28,2392.96,2457.33,778896.0796,2061198677.695918,4400234,365990.0515,969387345.802393
28/08/2024,2457.33,2595.4,2418.8,2526.0,1026648.7913,2573188131.799155,5463886,513884.1889,1288160736.005204
31/08/2024,2525.99,2564.83,2400.0,2538.01,583706.7292,1451668390.42509,3512306,288174.4404,716671648.326796
03/09/2024,2538.0,2553.6,2306.65,2368.81,887521.6122,2145359062.8534288,5137883,421767.3212,1019441251.786343
06/09/2024,2368.81,2408.83,2150.55,2297.3,1055255.9679,2406375637.120841,4939436,507103.2872,1157235514.033708
09/09/2024,2297.3,2400.0,2272.8,2340.55,828979.4754,1934705235.2929688,4502622,397809.5251,928630025.978817
12/09/2024,2340.54,2464.82,2315.39,2417.79,579430.977,1381389872.597359,3307308,284213.4273,677786682.271465
15/09/2024,2417.8,2430.32,2252.39,2341.8,779125.6854,1810304049.5526,4974336,368936.5627,857432811.0945871
18/09/2024,2341.79,2571.93,2277.34,2561.4,960418.224,2338694040.28167,8658984,488377.428,1189794869.79387
21/09/2024,2561.4,2702.82,2524.58,2646.97,702306.2179,1833531577.2704368,6985993,338583.2394,884108463.8191421
24/09/2024,2646.98,2673.5,2554.05,2632.26,787629.8268,2068141713.6097753,8074523,383749.2153,1007870548.619813
27/09/2024,2632.25,2728.6,2615.21,2657.62,579611.328,1547020105.697625,5209111,299152.7356,798497251.038188
30/09/2024,2657.62,2663.5,2352.0,2364.1,1102789.2115,2786881402.762184,11509206,532557.9074,1345886794.514559
03/10/2024,2364.09,2441.64,2310.0,2414.66,657759.1749,1562493824.275578,7799814,320436.0849,761404219.849492
06/10/2024,2414.66,2521.0,2401.18,2440.89,607570.5815,1489420607.444753,6419079,301792.7563,739795299.9091649
09/10/2024,2440.88,2473.61,2330.66,2439.5,735386.4541,1772717432.084961,7217515,363335.9032,875938219.754385
12/10/2024,2439.49,2654.0,2434.35,2629.79,695560.486,1757945981.712291,4806053,365061.4516,923007399.126073
15/10/2024,2629.79,2688.6,2537.36,2605.8,898232.6339,2344570425.48768,8662814,442667.0451,1155817680.819705
18/10/2024,2605.79,2759.0,2596.49,2746.91,654768.6247,1742506038.534687,6255493,335346.6252,892653121.140519
21/10/2024,2746.91,2769.48,2450.0,2524.61,929070.1448,2437219919.996329,7322270,446480.5359,1172376573.220496
24/10/2024,2524.6,2566.33,2382.59,2482.51,1054376.4977,2633115653.874933,7979309,516322.58,1289895578.810128
