date,open,high,low,close,volume,base_asset_volume,no_trades,taker_buy_vol,taker_buy_base_asset_vol
6/06/2020,240.04,244.7,237.83,241.94,389423.078,93979350.81,161709,198723.5396,47973780.54
7/06/2020,241.94,245.37,234.6,244.56,571102.5552,137165732.6,226478,285159.6539,68517428.42
8/06/2020,244.57,247.7,240.59,246.4,383116.5472,93355224.97,159981,193451.076,47159340.97
9/06/2020,246.37,249.82,238,243.8,420327.1713,102374504.6,185974,202641.0718,49369436.33
10/06/2020,243.79,250.28,242,247.78,431285.6172,105797248.2,185330,221305.1112,54322143.5
11/06/2020,247.78,250.09,226.2,230.51,816456.8916,195063781.3,312655,373492.343,89279896.49
12/06/2020,230.46,239.38,228.19,237.55,446515.3412,105069425.1,181977,224589.2962,52877894.61
13/06/2020,237.55,238.73,234.66,238.11,253797.7809,60087772.65,134555,126898.0978,30052109.59
14/06/2020,238.13,238.59,229.83,231.77,304943.2119,71575514.08,158093,150190.0614,35264141.21
15/06/2020,231.74,233.55,218.27,230.86,875026.9206,197907504.8,308126,410989.9909,92965284.37
16/06/2020,230.86,236,228.7,235.3,499194.6676,116456364.2,188136,252188.7108,58831595.31
17/06/2020,235.31,237.3,227.65,233.82,478187.2917,111415059.1,189653,232960.6903,54288236.16
18/06/2020,233.82,234.65,227.93,231.27,334347.7992,77542070.33,145815,157912.8986,36639257.02
19/06/2020,231.26,231.95,226.74,229,397284.5981,91117706.16,160682,196717.5238,45127258.01
20/06/2020,229,230.85,225.62,228.89,303704.9883,69343699.91,129778,146807.3037,33536648.03
21/06/2020,228.88,231.49,227.11,228.04,256305.2373,58868166.51,109238,133367.326,30640576.93
22/06/2020,228.03,246.89,227.51,243.13,749030.1111,178707156.2,256688,381685.5463,91072958.54
23/06/2020,243.11,244.87,240.75,243.14,442296.3148,107457002.5,172649,224811.2195,54630829.06
24/06/2020,243.15,249.24,231.07,234.58,921634.0534,220763040.4,289888,447817.3363,107284767
25/06/2020,234.57,235.39,227.56,232.5,613748.5935,142697463.4,192323,312667.907,72711629.98
26/06/2020,232.49,233.61,227.75,229.64,628340.0701,144805505.2,192182,313069.3963,72145517.99
27/06/2020,229.66,231.42,216,220.94,645950.6144,145264632.3,207051,299265.0172,67274910.29
28/06/2020,220.94,227.96,218.32,224.93,444766.5688,99423540.14,144728,236280.1476,52806921.85
29/06/2020,224.89,229.96,221.26,227.93,597915.5224,134510531.2,183558,305421.8734,68753130.27
30/06/2020,227.98,228.7,222.91,225.6,415036.0298,93802207.27,143612,202532.7465,45764408.13
1/07/2020,225.59,232.71,224.16,230.99,517351.5887,118322932.9,176455,265707.9463,60770218.92
2/07/2020,230.99,232.01,222.87,226.46,592485.9112,134976975.1,210294,282313.9013,64320519.48
3/07/2020,226.46,228.13,223.97,224.87,314578.5004,71286978.5,139167,153734.9221,34844388.69
4/07/2020,224.86,230.71,224.43,229.17,307726.4659,69899468.28,134338,156161.4808,35487540.26
5/07/2020,229.24,229.85,223.05,227.56,355747.1201,80528660.62,152077,173480.6672,39276422.85
6/07/2020,227.54,242,226.93,241.6,864817.507,203334727.9,268187,443659.9977,104363380.1
7/07/2020,241.6,243.77,234.4,239.39,600424.9721,143122828.4,213589,293523.4873,69992123.94
8/07/2020,239.39,248.88,237.78,246.95,958185.8371,233460700.8,309582,472779.3197,115197139.7
9/07/2020,246.94,247.9,237.88,241.98,647641.5829,157541370,243580,313999.2757,76404395.94
10/07/2020,241.97,242.16,235.72,241.26,455025.1239,108806462.5,181124,234086.9696,55969388.92
11/07/2020,241.27,241.67,237.54,239.19,294476.0063,70548557.68,140265,144264.7579,34563855.77
12/07/2020,239.19,244,236.52,242.79,469315.1172,112487552.4,201729,238720.1645,57233192.42
13/07/2020,242.76,245.33,237.33,239.5,604093.0425,146193291.9,240032,304677.2491,73761164.96
14/07/2020,239.5,242.09,237,240.44,426320.8919,102105027.1,172704,212486.6818,50895173.69
15/07/2020,240.45,241.45,236.83,238.61,368350.6652,88059682.48,154984,178198.014,42606335.48
16/07/2020,238.59,239.39,230.02,233.57,587161.7389,137208323.2,222138,284514.0397,66475192.08
17/07/2020,233.58,234.84,231.65,232.67,325600.2144,75931058.42,149088,159858.0831,37286020.32
18/07/2020,232.66,236.8,232.32,235.67,341356.6182,80046747.83,136494,168653.6825,39557475.71
19/07/2020,235.67,239.92,233.28,239.11,348803.5207,82120072.99,144896,177800.6573,41857576.45
20/07/2020,239.12,239.72,234.05,236.01,396657.9194,94314378.94,164435,193222.01,45941871.96
21/07/2020,236,246.66,235.57,245.59,637462.0807,154502240.9,240019,335588.6291,81336675.1
22/07/2020,245.53,269.61,241.51,263.74,718417.683,180692677.2,273546,382255.4506,96136746.65
23/07/2020,263.75,279.98,259.7,275.3,1068774.579,287217202.7,378573,548027.7765,147366131.5
24/07/2020,275.31,287.34,266,279.15,926033.0669,256347245.5,362608,467152.5895,129363215.3
25/07/2020,279.15,308.94,279.09,305.26,1058927.306,308799629.4,424683,546337.3692,159353784.5
26/07/2020,305.31,318.75,299,311,1270368.753,392346895.3,486058,629296.227,194398665.6
27/07/2020,311.02,333.31,310.78,321.93,1636122.347,527292799.3,645395,818454.5904,263886380.6
28/07/2020,321.95,326.8,305.86,316.77,1093231.556,346187853.3,458451,526272.9137,166776146.2
29/07/2020,316.77,325,312.38,317.71,792802.3215,254201662.1,347597,403407.1661,129383921.5
30/07/2020,317.76,342,314.05,334.87,1008827.567,328286452.5,410721,548703.6367,178728061.9
31/07/2020,334.82,349.45,328.4,346.33,948088.4498,323282981,461788,479449.0654,163562313.7
1/08/2020,346.32,392.67,343.07,387,1440843.342,527543444.9,598900,763925.6057,279585883.4
2/08/2020,387.01,415.85,325,372.42,2324909.096,878397036.3,960835,1147802.649,434515635.5
3/08/2020,372.45,398,366.5,385.94,1191565.094,462170587.5,534803,594188.683,230529343.4
4/08/2020,385.91,402.98,380.77,389.61,1180792.424,461794422.2,503335,580630.0981,227199384.2
5/08/2020,389.59,407,384.11,400.72,1124119.067,444335097.1,459722,569086.5345,225101645.7
6/08/2020,400.72,403.66,390.51,394.77,821379.084,325718417.7,388529,403029.863,159852195.1
7/08/2020,394.77,398.26,362.85,379.34,1041207.359,398625567.1,466548,499790.8267,191569557.5
8/08/2020,379.34,397.05,375.79,397.03,623029.7805,240999198,300577,325760.8768,126105849.1
9/08/2020,397.05,400,383.36,390.14,594900.5813,233057462.9,319111,294055.1311,115294494
10/08/2020,390.14,399.18,385.13,395.44,826969.9063,326372434.9,395123,409673.3457,161732201.7
11/08/2020,395.43,398.21,367,379,992412.6023,381981614.6,459623,465088.6708,179106068.4
12/08/2020,378.99,389.23,365.85,387.18,751848.7983,285872467.6,349082,378876.8349,144127095.7
13/08/2020,387.18,431.49,376.59,424.54,1511330.773,604810975.1,634978,786249.6439,314657281
14/08/2020,424.54,444.71,417.05,438.11,1109670.943,477180580.1,502635,551666.8965,237162820.6
15/08/2020,438.12,442.94,427.02,432.32,681698.5971,296652970.5,351377,332354.7299,144668622.3
16/08/2020,432.3,436.99,412.47,433.62,716666.2526,305445885.8,371807,345142.2617,147116639.3
17/08/2020,433.61,446,420.37,430.89,868870.65,375038999.5,443560,434882.896,187814884.7
18/08/2020,430.89,433.81,415,421.95,743254.5702,316635287,374074,356765.9755,152053040.6
19/08/2020,421.92,426.75,393.25,407.46,978339.6922,400208683.3,455992,457547.5727,187156985.8
20/08/2020,407.46,418.98,402.07,415.94,663555.7345,273292342.2,322537,336116.4166,138426936.6
21/08/2020,415.94,418.68,385.1,387.97,860998.7256,347455883.5,414222,395087.312,159527686.5
22/08/2020,387.93,397.04,379.92,395.24,643235.7654,250069873.4,305450,315092.64,122564498.4
23/08/2020,395.23,396.95,383.15,390.71,445317.8199,173799978,222729,218347.5076,85211118.01
24/08/2020,390.72,410.42,387.44,407.68,717403.8188,287991794.2,307676,374389.1622,150318604.2
25/08/2020,407.68,409.06,370,382.93,970445.384,375681480.2,411636,463076.7501,179300083.7
26/08/2020,382.91,392.91,377.37,385.81,738690.7794,284504413.1,351141,372284.313,143413331.4
27/08/2020,385.81,397.1,371.48,383.27,877763.7366,336647752.3,392116,441967.7499,169506712.9
